row,x,y
1,144.0839805,-18.0832565
2,115.9172575,-27.7499425
3,136.9172995,-28.4166105
4,130.7506205,-22.4165985
5,117.7505945,-34.2499555
6,147.0839865,-23.4166005
7,120.7506005,-31.9166175
8,128.4172825,-21.0832625
9,135.2506295,-32.7499525
10,135.0839625,-13.5832475000000
11,123.7506065,-29.0832785
12,147.7506545,-28.2499435
13,142.4173105,-37.7499625
14,125.7506105,-20.0832605
15,143.2506455,-37.0832945
16,128.2506155,-23.5832675
17,169.5840315,-44.2499755
18,135.4172965,-28.7499445
19,139.9173055,-36.5832935
20,171.7507025,-43.0833065
21,137.9173015,-30.5832815
22,149.0839905,-27.7499425
23,120.9172675,-32.2499515
24,116.4172585,-24.4166025
25,152.0839965,-25.4166045
26,115.4172565,-26.4166065
27,137.5839675,-19.7499265
28,127.5839475,-21.9165975
29,139.9173055,-20.2499275
30,120.0839325,-21.4165965
31,127.9172815,-27.9166095
32,149.2506575,-28.0832765
33,150.5839935,-30.7499485
34,136.5839655,-31.4166165
35,129.7506185,-18.4165905
36,146.4173185,-34.9166235
37,141.4173085,-31.7499505
38,135.2506295,-31.2499495
39,142.5839775,-27.2499415
40,116.0839245,-32.2499515
41,116.5839255,-22.7499325
42,142.2506435,-12.2499115
43,147.4173205,-24.2499355
44,133.0839585,-14.9165835
45,140.9173075,-29.7499465
46,128.5839495,-19.9165935
47,129.4172845,-24.2499355
48,148.9173235,-37.7499625
49,135.4172965,-19.2499255
50,170.4173665,-43.7499745
51,135.7506305,-17.7499225
52,115.5839235,-25.4166045
53,125.2506095,-25.4166045
54,145.0839825,-36.4166265
55,151.2506615,-28.4166105
56,133.4172925,-17.4165885
57,138.2506355,-23.0832665
58,140.9173075,-23.0832665
59,135.5839635,-27.5832755
60,114.2505875,-26.5832735
61,133.9172935,-14.2499155000000
62,134.5839615,-21.7499305
63,147.7506545,-26.7499405
64,135.0839625,-20.4165945
65,136.7506325,-17.9165895
66,147.0839865,-27.9166095
67,135.9172975,-33.4166205
68,129.4172845,-22.0832645
69,147.7506545,-26.5832735
70,117.4172605,-27.2499415
71,119.5839315,-32.7499525
72,144.4173145,-30.4166145
73,123.4172725,-24.9166035
74,143.0839785,-24.0832685
75,146.9173195,-21.5832635
76,138.5839695,-20.0832605
77,135.7506305,-22.0832645
78,134.0839605,-32.4166185
79,150.9173275,-24.0832685
80,146.2506515,-36.4166265
81,133.9172935,-29.2499455
82,135.4172965,-33.5832875
83,144.2506475,-17.9165895
84,147.5839875,-28.0832765
85,125.9172775,-15.0832505
86,144.7506485,-31.2499495
87,149.7506585,-28.7499445
88,132.9172915,-19.0832585
89,143.9173135,-19.4165925
90,150.0839925,-26.7499405
91,117.5839275,-21.2499295
92,125.0839425,-19.7499265
93,126.4172785,-30.0832805
94,142.2506435,-22.2499315
95,139.7506385,-33.4166205
96,124.9172755,-26.4166065
97,118.4172625,-20.4165945
98,144.0839805,-19.5832595
99,145.9173175,-37.4166285
100,141.7506425,-14.0832485
101,149.2506575,-31.9166175
102,126.0839445,-20.5832615
