,x,y
1,-32.5830395,68.2502495
2,-52.7497465,72.4169245
3,-151.5832775,69.0835845
4,-103.9165155,39.0835245
5,-89.7498205,46.7502065
6,-82.0831385,39.5835255
7,-107.5831895,62.0835705
8,-115.5832055,34.4168485
9,-41.5830575,73.9169275
10,-48.0830705,71.7502565
11,-99.9165075,36.9168535
12,-36.7497145,78.0836025
13,-70.5831155,46.2502055
14,-74.2497895,41.0835285
15,-108.0831905,68.5835835
16,-45.4163985,74.5835955
17,-113.7498685,63.2502395
18,-143.5832615,64.4169085
19,-35.7497125,68.2502495
20,-110.2498615,39.5835255
21,-137.7499165,67.9169155
22,-87.4164825,38.0835225
23,-151.2499435,65.9169115
24,-90.9164895,50.0835465
25,-63.0831005,80.2502735
26,-86.9164815,81.5836095
27,-104.2498495,32.7501785
28,-157.7499565,67.2502475
29,-36.2497135,73.9169275
30,-159.7499605,66.9169135
31,-115.7498725,72.2502575
32,-28.9163655,73.9169275
33,-65.2497715,56.9168935
34,-75.5831255,70.5835875
35,-89.5831535,75.2502635
36,-106.9165215,64.0835745
37,-93.7498285,38.7501905
38,-39.5830535,69.4169185
39,-96.5831675,31.7501765
40,-91.0831565,66.5835795
41,-104.2498495,38.7501905
42,-113.9165355,64.0835745
43,-96.7498345,65.4169105
44,-106.0831865,57.4168945
45,-35.2497115,73.5835935
46,-92.5831595,43.9168675
47,-132.2499055,61.4169025
48,-81.5831375,33.5835135
49,-108.4165245,34.4168485
50,-90.0831545,38.7501905
51,-81.2498035,41.7501965
52,-73.9164555,79.5836055
53,-82.5831395,76.9169335
54,-55.9164195,80.7502745
55,-98.2498375,30.9168415
56,-96.5831675,37.5835215
57,-87.4164825,48.4168765
58,-98.7498385,31.5835095
59,-38.5830515,68.5835835
60,-97.5831695,47.9168755
61,-135.4165785,63.4169065
62,-86.5831475,45.0835365
63,-73.5831215,70.9169215
64,-70.4164485,59.0835645
65,-116.9165415,44.7502025
66,-125.7498925,59.0835645
67,-132.2499055,56.2502255
68,-82.0831385,49.9168795
69,-68.0831105,52.9168855
70,-155.4166185,68.0835825
71,-80.2498015,33.4168465
72,-98.0831705,65.9169115
73,-119.5832135,52.5835515
74,-130.4165685,59.5835655
75,-150.5832755,67.4169145
76,-105.4165185,67.2502475
77,-107.9165235,36.0835185
78,-35.9163795,68.7502505
79,-150.5832755,66.5835795
80,-81.0831365,27.0835005
81,-85.7498125,48.2502095
82,-158.5832915,61.7502365
83,-73.4164545,49.9168795
84,-138.2499175,60.7502345
85,-99.2498395,47.9168755
86,-52.9164135,70.7502545
87,-65.4164385,51.0835485
88,-83.7498085,41.0835285
89,-84.0831425,47.2502075
90,-70.7497825,63.5835735
91,-134.4165765,59.5835655
92,-116.5832075,33.5835135
93,-65.0831045,63.0835725
94,-43.9163955,71.2502555
95,-82.0831385,47.2502075
96,-87.7498165,38.5835235
97,-45.7497325,67.2502475
98,-82.5831395,29.5835055
99,-73.5831215,62.2502375
100,-77.7497965,82.9169455
101,-75.9164595,35.9168515
102,-96.5831675,40.2501935
103,-150.2499415,67.4169145
104,-116.0832065,49.0835445
105,-84.5831435,81.4169425
106,-123.2498875,63.4169065
107,-36.7497145,66.7502465
108,-115.4165385,61.0835685
109,-39.9163875,68.9169175
110,-76.7497945,54.9168895
111,-112.9165335,36.7501865
112,-113.0832005,57.0835605
113,-132.4165725,60.7502345
114,-86.0831465,80.2502735
115,-84.0831425,43.4168665
116,-69.2497795,65.2502435
117,-84.7498105,81.7502765
118,-147.5832695,70.0835865
119,-94.5831635,51.0835485
120,-88.7498185,56.4168925
121,-115.0832045,60.5835675
122,-30.0830345,78.0836025
123,-88.2498175,45.7502045
124,-76.2497935,49.2502115
125,-90.5831555,78.5836035
126,-54.0830825,70.5835875
127,-38.7497185,82.0836105
128,-85.4164785,67.0835805
129,-79.9164675,42.9168655
130,-162.0832985,63.4169065
131,-132.5832395,63.4169065
132,-83.0831405,35.7501845
133,-101.0831765,54.2502215
134,-131.2499035,55.2502235
135,-142.7499265,69.2502515
136,-141.0832565,63.7502405
137,-119.7498805,35.2501835
138,-117.7498765,35.2501835
139,-98.9165055,42.9168655
140,-65.0831045,76.4169325
141,-104.9165175,44.4168685
142,-155.4166185,65.4169105
143,-62.4164325,76.4169325
144,-107.4165225,65.4169105
